,census_tract_number,total_population,california_county,children_10_percent,pop_11_64_years_percent,elderly_65_percent,hispanic_percent,white_percent,african_american_percent,native_american_percent,asian_american_percent,other_percent,zip,nearby_city,ces_3_0_score,sb_535_disadvantaged_community,ozone,pm2_5,diesel_pm,drinking_water,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score
935,6037533203,1827,Los Angeles,19,75.6,5.4,93.5,2.5,0.1,0.2,2.8,0.8,90255,Huntington Park,49.17,Yes,0.046,12.05,23.3,565.77,0,7805.25892,1061.84,8.5,9.5,0.175,0,2,54.61,6.73,52.78,3.82,9.88,59.1,24.8,57.7,14.2,34.1,70.48,7.31
936,6037191610,4502,Los Angeles,13.3,80.5,6.2,75.1,10.5,1.5,0,11.4,1.4,90029,Los Angeles,49.13,Yes,0.048,12.89,36.19,664.07,0,2565.975584,2933.48,5.1,3.75,0.045,0,1,54.85,6.76,57,4.85,8.6,37.4,23.1,59.5,11.3,33,70.13,7.27
937,6099003603,3952,Stanislaus,16.1,72.3,11.6,41.6,55.4,0.1,0.3,0.8,1.8,95380,Turlock,49.13,Yes,0.057,12.89,11.275,1123.58,1151.9,296.8591274,469.72,4.25,20.5,0.05,21,5.5,65.26,8.04,50.56,3.05,9.85,25,12.2,43.1,24.1,19.5,58.93,6.11
938,6037405202,5227,Los Angeles,17.5,73.7,8.8,81.4,4.3,0.6,0,12.9,0.7,91706,Baldwin Park,49.11,Yes,0.051,11.21,23.13,776.6,0,9500.493238,479.59,24,4.35,0.125,3,0.7,54.8,6.75,62.29,5.39,10.58,42.3,20,43.7,11.2,16.4,70.15,7.27
939,6075017902,2880,San Francisco,9.4,89.6,1,23,27.2,23.5,0.6,18.8,7,94130,San Francisco,49.09,Yes,0.03,8.69794377,99.411,271.47,0,345.6602711,3160.99,159,150,0.2,10,2,55.66,6.86,95.9,5.97,8.44,10.7,3.2,70.4,13.3,26.6,69.04,7.16
940,6047002202,9923,Merced,18.9,74.3,6.8,69.3,23.8,2.9,0.4,2.1,1.5,93635,Los Banos,49.08,Yes,0.051,12.89,6.694,541.57,365.36,0.872605796,233,11,30,0.01,3,1,47.01,5.79,115.94,5.19,16.02,38.5,18.7,59.5,17.4,18.8,81.73,8.48
941,6025011900,10966,Imperial,17.9,72.4,9.7,96.6,2.2,0.1,0,0.9,0.2,92231,Calexico,49.08,Yes,0.053,11.63,3.507,456.83,1285.98,416.0628675,359.98,3,10.05,0.15,22,18.5,56.05,6.9,51.05,3.66,12.89,39.8,32.1,51.9,13.3,22.3,68.54,7.11
942,6037433402,4776,Los Angeles,18.2,75.5,6.3,77.8,2.2,0.1,0,19.5,0.5,91733,South El Monte,49.07,Yes,0.05,12.05,22.47,859.03,0,7107.900706,676.02,15.25,21.95,0.05,0,5.5,59.13,7.28,37.82,6.72,5.88,50.6,47.6,76.1,5.3,39,64.97,6.74
943,6037533503,1920,Los Angeles,16.4,76.8,6.8,97.6,1.7,0.1,0.3,0.2,0.3,90255,Huntington Park,49.05,Yes,0.046,12.05,23.1,307,0,12155.06078,1260.88,12.45,1.5,0.02,7,0,49.78,6.13,46.07,5.62,8.79,66.6,37.6,70.3,16.1,32.7,77.13,8
944,6037554403,5483,Los Angeles,17.3,76.4,6.3,49.5,13.6,22,0.3,12.2,2.4,90706,Bellflower,49,Yes,0.044,12.05,21.73,300.01,2.24,7367.57907,2052.97,0,32.6,0.01,0,0,48.69,6,75.56,7.4,10.66,28.8,10.3,55.5,11.6,25.9,78.78,8.17
945,6037219700,4306,Los Angeles,12.6,78.8,8.6,63.7,3.1,29.7,0.5,1.2,1.8,90016,Los Angeles,48.99,Yes,0.046,12.05,24.45,664.07,0,2234.776413,2863.85,8,6,0,0,2,52.7,6.49,100.42,5.58,9.96,32,14.3,29.6,10.1,27.8,72.76,7.55
946,6037237710,3887,Los Angeles,19.4,76,4.6,72.1,1,25.2,0.3,0.5,0.9,90044,Los Angeles,48.98,Yes,0.046,12.05,26.33,664.07,0,4400.5233,3583.18,0.5,3,0,0,0.2,47.33,5.83,72.35,6.76,8.38,46.2,19.4,67.4,12.3,41.8,81.01,8.4
947,6037209300,5021,Los Angeles,13,83.4,3.6,67.4,14.1,6.4,0.4,10,1.7,90017,Los Angeles,48.97,Yes,0.046,12.89,60.69,664.07,0,4405.331664,3177.27,5.5,6.3,2.745,0,0,59.24,7.3,51.43,5.91,5.2,41.7,29.9,65.7,8.1,31.3,64.71,6.71
