Location,Species,Site,Net Photosynthesis,Respiration,Gross Photosynthesis,Pg:R ratio,Symbiodinaceae density,Chlorophyll concentration,Surface area
Ambitle,Pocillopora verrucosa,Reference,0.696711956,-0.229094016,0.925805972,4.041161739,1565639.108,21.00375639,3.672
Ambitle,Pocillopora verrucosa,Reference,0.43399326,-0.346929514,0.780922774,2.250955144,2663235.148,22.37021017,5.658
Ambitle,Pocillopora verrucosa,Reference,0.837281194,-0.318908129,1.156189323,3.625462062,4898704.497,38.79277932,6.393
Ambitle,Pocillopora verrucosa,Reference,0.577853643,-0.230872308,0.808725951,3.502914481,1988944.052,22.17110525,7.285
Ambitle,Pocillopora verrucosa,Reference,0.336772537,-0.373867898,0.710640435,1.900779497,2277344.854,20.13369174,5.348
Ambitle,Pocillopora verrucosa,Reference,0.461471676,-0.452886939,0.914358615,2.018955585,1208964.41,11.4470612,8.598
Ambitle,Pocillopora verrucosa,Reference,0.605425089,-0.340042925,0.945468014,2.780437246,1696054.409,17.86479918,5.696
Ambitle,Pocillopora verrucosa,Reference,0.704610959,-0.496343101,1.20095406,2.419604619,2495545.479,34.57139294,7.595
Ambitle,Pocillopora verrucosa,Reference,0.739607783,-0.230422932,0.970030715,4.209783751,2380283.811,27.17489932,4.654
Ambitle,Pocillopora verrucosa,Reference,0.624666954,-0.17525387,0.799920824,4.564354693,2289688.327,26.15411525,4.54
Ambitle,Porites cylindrica,Reference,0.787921089,-0.608010472,1.395931561,2.295900524,3701530.291,47.87183431,2.766
Ambitle,Porites cylindrica,Reference,0.391039562,-0.365404923,0.756444485,2.07015406,4465538.986,52.78403468,4.773
Ambitle,Porites cylindrica,Reference,0.52454,-0.383523252,0.908063252,2.36768761,2024280.673,27.59981104,7.106
Ambitle,Porites cylindrica,Reference,0.648776504,-0.398825926,1.04760243,2.626715972,3815206.598,50.41744223,6.55
Ambitle,Porites cylindrica,Reference,0.68412477,-0.487365142,1.171489912,2.403721175,4415640.879,50.50684764,3.091
Ambitle,Porites cylindrica,Reference,0.427368712,-0.479662699,0.907031411,1.890977583,4710952.795,61.65323853,2.942
Ambitle,Porites cylindrica,Reference,0.223741414,-0.486523286,0.7102647,1.45987812,4084712.616,48.84476574,7.378
Ambitle,Porites cylindrica,Reference,0.704210863,-0.483048249,1.187259112,2.457847874,2789899.73,37.2146807,2.522
Ambitle,Porites cylindrica,Reference,0.458085029,-0.44063864,0.898723669,2.039593416,5515343.745,71.67991428,3.769
Ambitle,Porites cylindrica,Reference,0.195650186,-0.538304868,0.733955054,1.363456096,5373704.531,66.70268255,2.267
Ambitle,Heliopora coerulea,Reference,0.15833521,-0.095106028,0.253441238,2.664828332,2707851.023,26.55394764,4.556
Ambitle,Heliopora coerulea,Reference,0.475807685,-0.301853991,0.777661676,2.576284227,2074079.449,21.76565736,4.708
Ambitle,Heliopora coerulea,Reference,0.180197609,-0.808360671,0.98855828,1.222917338,1883972.946,18.09259303,4.556
Ambitle,Heliopora coerulea,Reference,0.344675303,-0.251253997,0.5959293,2.371820178,3339816.341,30.66367914,3.403
